time	V(out)
0.000000000000000e+000	1.800000e+000
9.765624723809263e-013	1.800000e+000
1.953124944761853e-012	1.800000e+000
1.839501673848514e-006	1.800000e+000
3.679001394572084e-006	1.800000e+000
5.518501115295654e-006	1.800000e+000
7.358000836019223e-006	1.800000e+000
9.197500556742792e-006	1.800000e+000
1.103700027746636e-005	1.800000e+000
1.287649999818993e-005	1.800000e+000
1.516935003749049e-005	1.800000e+000
1.521904789482444e-005	1.800000e+000
1.521914753467973e-005	1.800000e+000
1.521914822822143e-005	1.800000e+000
1.521914961530484e-005	1.800000e+000
1.521915238947165e-005	1.800000e+000
1.521915793780526e-005	1.800000e+000
1.521916903447250e-005	1.800000e+000
1.521918014491225e-005	1.800000e+000
1.521918184299249e-005	1.800000e+000
1.521918523915299e-005	1.800000e+000
1.521919203147398e-005	1.800000e+000
1.521920561611597e-005	1.800000e+000
1.521922586229320e-005	1.800000e+000
1.521924757997180e-005	1.800000e+000
1.521926297825161e-005	1.800000e+000
1.521927651586445e-005	1.800000e+000
1.521929040664501e-005	1.800000e+000
1.521930506551770e-005	1.800000e+000
1.521931871754732e-005	1.800000e+000
1.521933201426190e-005	1.800000e+000
1.521934497678106e-005	1.800000e+000
1.521935889654325e-005	1.800000e+000
1.521937166945140e-005	1.800000e+000
1.521938444383778e-005	1.800000e+000
1.521939638470894e-005	1.800000e+000
1.521940835333298e-005	1.800000e+000
1.521941971424182e-005	1.800000e+000
1.521943096475801e-005	1.800000e+000
1.521944167261621e-005	1.800000e+000
1.521945215623725e-005	1.800000e+000
1.521946331167561e-005	1.800000e+000
1.521947618312329e-005	1.800000e+000
1.521949065791905e-005	1.800000e+000
1.521950752410915e-005	1.800000e+000
1.521952714158526e-005	1.800000e+000
1.521971342778312e-005	1.800000e+000
1.521989971398099e-005	1.800000e+000
1.522008600017885e-005	1.800000e+000
1.522027228637671e-005	1.800000e+000
1.522045857257457e-005	1.800000e+000
1.522064485877243e-005	1.800000e+000
1.522083114497030e-005	1.800000e+000
1.522196269495514e-005	1.800000e+000
1.522422579492483e-005	1.800000e+000
1.522423033880534e-005	1.800000e+000
1.522423942656636e-005	1.800000e+000
1.522425315253558e-005	1.800000e+000
1.522425439395380e-005	1.800000e+000
1.522425687679023e-005	1.800000e+000
1.522425749749933e-005	1.800000e+000
1.522425873891754e-005	1.800000e+000
1.522426122175397e-005	1.800000e+000
1.522426618742683e-005	1.800000e+000
1.522426742884504e-005	1.800000e+000
1.522426991168147e-005	1.800000e+000
1.522427487735432e-005	1.800000e+000
1.522428480870003e-005	1.800000e+000
1.522430029535516e-005	1.800000e+000
1.522431502664002e-005	1.800000e+000
1.522433300441232e-005	1.800000e+000
1.522435130343941e-005	1.800000e+000
1.522436640902423e-005	1.800000e+000
1.522438037028618e-005	1.800000e+000
1.522439426404723e-005	1.800000e+000
1.522440901774617e-005	1.800000e+000
1.522442256501809e-005	1.800000e+000
1.522443592202575e-005	1.800000e+000
1.522444844818594e-005	1.800000e+000
1.522446093421222e-005	1.800000e+000
1.522447441950727e-005	1.800000e+000
1.522448691914149e-005	1.800000e+000
1.522449934921324e-005	1.800000e+000
1.522451100964650e-005	1.800000e+000
1.522452265124208e-005	1.800000e+000
1.522453372635747e-005	1.800000e+000
1.522454464860929e-005	1.800000e+000
1.522455503928243e-005	1.800000e+000
1.522456515759985e-005	1.800000e+000
1.522457475732928e-005	1.800000e+000
1.522458646638464e-005	1.800000e+000
1.522459890188655e-005	1.800000e+000
1.522461393796162e-005	1.800000e+000
1.522463039882975e-005	1.800000e+000
1.522467519842418e-005	1.800000e+000
1.522475426848951e-005	1.800000e+000
1.522934641009146e-005	1.800000e+000
1.523384482190874e-005	1.800000e+000
1.523385409988313e-005	1.800000e+000
1.523387265583191e-005	1.800000e+000
1.523388288988043e-005	1.800000e+000
1.523389012073974e-005	1.800000e+000
1.523390077517388e-005	1.800000e+000
1.523391271161304e-005	1.800000e+000
1.523392758982064e-005	1.800000e+000
1.523394313440026e-005	1.800000e+000
1.523394564673147e-005	1.800000e+000
1.523395067139389e-005	1.800000e+000
1.523396072071874e-005	1.800000e+000
1.523397727763445e-005	1.800000e+000
1.523399293265592e-005	1.800000e+000
1.523400671181273e-005	1.800000e+000
1.523402020340646e-005	1.800000e+000
1.523403466111379e-005	1.800000e+000
1.523404804249216e-005	1.800000e+000
1.523406127308495e-005	1.800000e+000
1.523407367277625e-005	1.800000e+000
1.523408627000216e-005	1.800000e+000
1.523409947993329e-005	1.800000e+000
1.523411193066308e-005	1.800000e+000
1.523412415240469e-005	1.800000e+000
1.523413576928234e-005	1.800000e+000
1.523414724510442e-005	1.800000e+000
1.523415824806462e-005	1.800000e+000
1.523416901246438e-005	1.800000e+000
1.523417930204917e-005	1.800000e+000
1.523418925641114e-005	1.800000e+000
1.523419965163496e-005	1.800000e+000
1.523421169089593e-005	1.800000e+000
1.523422511134987e-005	1.800000e+000
1.523424075049470e-005	1.800000e+000
1.523425872536072e-005	1.800000e+000
1.523434142609842e-005	1.800000e+000
1.523442412683613e-005	1.800000e+000
1.523450682757383e-005	1.800000e+000
1.523458952831153e-005	1.800000e+000
1.523467222904923e-005	1.800000e+000
1.523475492978693e-005	1.800000e+000
1.523483763052463e-005	1.800000e+000
1.523523495752231e-005	1.800000e+000
1.523602961151768e-005	1.800000e+000
1.523603125049152e-005	1.800000e+000
1.523603452843918e-005	1.800000e+000
1.523603834377986e-005	1.800000e+000
1.523604189290893e-005	1.800000e+000
1.523604773389031e-005	1.800000e+000
1.523605416297405e-005	1.800000e+000
1.523606352273667e-005	1.800000e+000
1.523606466829422e-005	1.800000e+000
1.523606695940932e-005	1.800000e+000
1.523607154163953e-005	1.800000e+000
1.523608070609994e-005	1.800000e+000
1.523609474866983e-005	1.800000e+000
1.523610813506892e-005	1.800000e+000
1.523612420612550e-005	1.800000e+000
1.523614158795706e-005	1.800000e+000
1.523615699789299e-005	1.800000e+000
1.523617146064536e-005	1.800000e+000
1.523618571425324e-005	1.800000e+000
1.523619960775840e-005	1.800000e+000
1.523621439829730e-005	1.800000e+000
1.523622780759653e-005	1.800000e+000
1.523624116704308e-005	1.800000e+000
1.523625362212347e-005	1.800000e+000
1.523626611486398e-005	1.800000e+000
1.523627953399988e-005	1.800000e+000
1.523629202723223e-005	1.800000e+000
