time	V(vmem)
0.000000000000000e+000	0.000000e+000
9.765624723809263e-013	6.715345e-009
1.953124944761853e-012	1.343069e-008
1.839501673848514e-006	1.238100e-002
3.679001394572084e-006	2.435202e-002
5.518501115295654e-006	3.591309e-002
7.358000836019223e-006	4.706420e-002
9.197500556742792e-006	5.780536e-002
1.103700027746636e-005	6.813656e-002
1.287649999818993e-005	7.805781e-002
1.516935003749049e-005	8.996810e-002
1.521904789482444e-005	9.022029e-002
1.521914753467973e-005	9.022079e-002
1.521914822822143e-005	9.022079e-002
1.521914961530484e-005	9.022080e-002
1.521915238947165e-005	9.022082e-002
1.521915793780526e-005	9.022270e-002
1.521916903447250e-005	9.023485e-002
1.521918014491225e-005	9.025446e-002
1.521918184299249e-005	9.025788e-002
1.521918523915299e-005	9.026473e-002
1.521919203147398e-005	9.027842e-002
1.521920561611597e-005	9.030581e-002
1.521922586229320e-005	9.034663e-002
1.521924757997180e-005	9.039043e-002
1.521926297825161e-005	9.042148e-002
1.521927651586445e-005	9.044877e-002
1.521929040664501e-005	9.047677e-002
1.521930506551770e-005	9.050633e-002
1.521931871754732e-005	9.053386e-002
1.521933201426190e-005	9.056067e-002
1.521934497678106e-005	9.058680e-002
1.521935889654325e-005	9.061487e-002
1.521937166945140e-005	9.064062e-002
1.521938444383778e-005	9.066638e-002
1.521939638470894e-005	9.069046e-002
1.521940835333298e-005	9.071459e-002
1.521941971424182e-005	9.073749e-002
1.521943096475801e-005	9.076018e-002
1.521944167261621e-005	9.078176e-002
1.521945215623725e-005	9.080291e-002
1.521946331167561e-005	9.082539e-002
1.521947618312329e-005	9.085135e-002
1.521949065791905e-005	9.088054e-002
1.521950752410915e-005	9.091454e-002
1.521952714158526e-005	9.095410e-002
1.521971342778312e-005	9.132969e-002
1.521989971398099e-005	9.170529e-002
1.522008600017885e-005	9.208088e-002
1.522027228637671e-005	9.245647e-002
1.522045857257457e-005	9.283206e-002
1.522064485877243e-005	9.320765e-002
1.522083114497030e-005	9.358323e-002
1.522196269495514e-005	9.586458e-002
1.522422579492483e-005	1.004272e-001
1.522423033880534e-005	1.004363e-001
1.522423942656636e-005	1.004546e-001
1.522425315253558e-005	1.004823e-001
1.522425439395380e-005	1.004848e-001
1.522425687679023e-005	1.004898e-001
1.522425749749933e-005	1.004911e-001
1.522425873891754e-005	1.004936e-001
1.522426122175397e-005	1.004977e-001
1.522426618742683e-005	1.005031e-001
1.522426742884504e-005	1.005036e-001
1.522426991168147e-005	1.005036e-001
1.522427487735432e-005	1.005036e-001
1.522428480870003e-005	1.005037e-001
1.522430029535516e-005	1.005038e-001
1.522431502664002e-005	1.005038e-001
1.522433300441232e-005	1.005039e-001
1.522435130343941e-005	1.005040e-001
1.522436640902423e-005	1.005041e-001
1.522438037028618e-005	1.005042e-001
1.522439426404723e-005	1.005042e-001
1.522440901774617e-005	1.005043e-001
1.522442256501809e-005	1.005044e-001
1.522443592202575e-005	1.005044e-001
1.522444844818594e-005	1.005045e-001
1.522446093421222e-005	1.005045e-001
1.522447441950727e-005	1.005046e-001
1.522448691914149e-005	1.005047e-001
1.522449934921324e-005	1.005047e-001
1.522451100964650e-005	1.005048e-001
1.522452265124208e-005	1.005048e-001
1.522453372635747e-005	1.005049e-001
1.522454464860929e-005	1.005049e-001
1.522455503928243e-005	1.005050e-001
1.522456515759985e-005	1.005050e-001
1.522457475732928e-005	1.005051e-001
1.522458646638464e-005	1.005052e-001
1.522459890188655e-005	1.005052e-001
1.522461393796162e-005	1.005053e-001
1.522463039882975e-005	1.005054e-001
1.522467519842418e-005	1.005056e-001
1.522475426848951e-005	1.005060e-001
1.522934641009146e-005	1.005283e-001
1.523384482190874e-005	1.005502e-001
1.523385409988313e-005	1.005502e-001
1.523387265583191e-005	1.005503e-001
1.523388288988043e-005	1.005504e-001
1.523389012073974e-005	1.005504e-001
1.523390077517388e-005	1.005505e-001
1.523391271161304e-005	1.005539e-001
1.523392758982064e-005	1.005694e-001
1.523394313440026e-005	1.005969e-001
1.523394564673147e-005	1.006020e-001
1.523395067139389e-005	1.006121e-001
1.523396072071874e-005	1.006323e-001
1.523397727763445e-005	1.006657e-001
