time	V(vout)	V(vpre)
0.000000000000000e+000	-2.471974e-005	1.800000e+000
3.670580351971305e-007	-2.471975e-005	1.800000e+000
7.341160703942610e-007	-2.471974e-005	1.800000e+000
1.101174105591391e-006	-2.471973e-005	1.800000e+000
1.468232140788522e-006	-2.471970e-005	1.800000e+000
1.835290175985653e-006	-2.471966e-005	1.800000e+000
2.202348211182783e-006	-2.471962e-005	1.800000e+000
2.569406246379912e-006	-2.471956e-005	1.800000e+000
2.862374996379912e-006	-2.471951e-005	1.800000e+000
3.280901782094198e-006	-2.471943e-005	1.800000e+000
3.699428567808485e-006	-2.471936e-005	1.800000e+000
4.117955353522771e-006	-2.471928e-005	1.800000e+000
4.536482139237058e-006	-2.471920e-005	1.800000e+000
4.955008924951344e-006	-2.471912e-005	1.800000e+000
5.373535710665630e-006	-2.471903e-005	1.800000e+000
5.792062496379916e-006	-2.471895e-005	1.800000e+000
6.393196425468499e-006	-2.471883e-005	1.800000e+000
6.994330354557083e-006	-2.471871e-005	1.800000e+000
7.595464283645668e-006	-2.471860e-005	1.800000e+000
8.196598212734251e-006	-2.471848e-005	1.800000e+000
8.797732141822834e-006	-2.471837e-005	1.800000e+000
9.398866070911419e-006	-2.471826e-005	1.800000e+000
1.000000000000000e-005	-2.471815e-005	1.800000e+000
1.000010000000000e-005	-2.471815e-005	1.620000e+000
1.000030000000000e-005	-2.471815e-005	1.260000e+000
1.000035000000000e-005	-2.471815e-005	1.170000e+000
1.000045000000000e-005	-2.471815e-005	9.900000e-001
1.000045627495070e-005	-2.471815e-005	9.787051e-001
1.000046882485210e-005	-2.471815e-005	9.561152e-001
1.000049392465488e-005	-2.471815e-005	9.109356e-001
1.000049549965504e-005	-2.471815e-005	9.081006e-001
1.000049864965535e-005	-2.471815e-005	9.024306e-001
1.000050494965598e-005	-2.471815e-005	8.910906e-001
1.000050544380836e-005	-2.471815e-005	8.902012e-001
1.000050564146931e-005	-2.471815e-005	8.898454e-001
1.000050578971503e-005	-2.471815e-005	8.895785e-001
1.000050598737598e-005	-2.471815e-005	8.892227e-001
1.000050599355288e-005	-2.471815e-005	8.892116e-001
1.000050600590669e-005	-2.471815e-005	8.891894e-001
1.000050600899514e-005	-2.471815e-005	8.891838e-001
1.000050601517205e-005	-2.471815e-005	8.891727e-001
